File: FE2.TRK
Size: 37330944 bytes

reached end of file!
Chunk 470 0 | SHOC | (6736 bytes)
Chunk 471 0 | SHOC | (60 bytes)
Chunk 472 0 | SHOC | (7300 bytes)
Chunk 473 0 | SHOC | (60 bytes)
Chunk 474 0 | SHOC | (7176 bytes)
Chunk 475 0 | SHOC | (60 bytes)
Chunk 476 0 | FILL | (3184 bytes)
Chunk 477 0 | SHOC | (7240 bytes)
Chunk 478 0 | SHOC | (60 bytes)
Chunk 479 0 | SHOC | (7572 bytes)
Chunk 480 0 | SHOC | (60 bytes)
Chunk 481 0 | SHOC | (6792 bytes)
Chunk 482 0 | SHOC | (60 bytes)
Chunk 483 0 | FILL | (2792 bytes)
Chunk 484 0 | SHOC | (6900 bytes)
Chunk 485 0 | SHOC | (60 bytes)
Chunk 486 0 | SHOC | (6952 bytes)
Chunk 487 0 | SHOC | (60 bytes)
Chunk 488 0 | SHOC | (7120 bytes)
Chunk 489 0 | SHOC | (60 bytes)
Chunk 490 0 | FILL | (3424 bytes)
Chunk 491 0 | SHOC | (7060 bytes)
Chunk 492 0 | SHOC | (60 bytes)
Chunk 493 0 | SHOC | (7584 bytes)
Chunk 494 0 | SHOC | (60 bytes)
Chunk 495 0 | SHOC | (6448 bytes)
Chunk 496 0 | SHOC | (60 bytes)
Chunk 497 0 | FILL | (3304 bytes)
Chunk 498 0 | SHOC | (6356 bytes)
Chunk 499 0 | SHOC | (60 bytes)
Chunk 500 0 | SHOC | (6636 bytes)
Chunk 501 0 | SHOC | (60 bytes)
Chunk 502 0 | SHOC | (5904 bytes)
Chunk 503 0 | SHOC | (60 bytes)
Chunk 504 0 | FILL | (5500 bytes)
Chunk 505 0 | SHOC | (6572 bytes)
Chunk 506 0 | SHOC | (60 bytes)
Chunk 507 0 | SHOC | (6504 bytes)
Chunk 508 0 | SHOC | (60 bytes)
Chunk 509 0 | SHOC | (6168 bytes)
Chunk 510 0 | SHOC | (60 bytes)
Chunk 511 0 | FILL | (5152 bytes)
Chunk 512 0 | SHOC | (6296 bytes)
Chunk 513 0 | SHOC | (60 bytes)
Chunk 514 0 | SHOC | (6580 bytes)
Chunk 515 0 | SHOC | (60 bytes)
Chunk 516 0 | SHOC | (5924 bytes)
Chunk 517 0 | SHOC | (60 bytes)
Chunk 518 0 | FILL | (5596 bytes)
Chunk 519 0 | SHOC | (6140 bytes)
Chunk 520 0 | SHOC | (60 bytes)
Chunk 521 0 | SHOC | (6168 bytes)
Chunk 522 0 | SHOC | (60 bytes)
Chunk 523 0 | SHOC | (5932 bytes)
Chunk 524 0 | SHOC | (60 bytes)
Chunk 525 0 | SHOC | (5624 bytes)
Chunk 526 0 | SHOC | (60 bytes)
Chunk 527 0 | FILL | (472 bytes)
Chunk 528 0 | SHOC | (5968 bytes)
Chunk 529 0 | SHOC | (60 bytes)
Chunk 530 0 | SHOC | (5372 bytes)
Chunk 531 0 | SHOC | (60 bytes)
Chunk 532 0 | SHOC | (5364 bytes)
Chunk 533 0 | SHOC | (60 bytes)
Chunk 534 0 | SHOC | (5660 bytes)
